ENTRY	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	rfree	cons
1959:02	0.03275	0.01729	0.03155	0.02539	0.03821	0.03498	0.02462	0.03558	0.01712	0.004037	0.002223	1.002030
1959:03	0.01635	0.02123	0.02331	0.02096	0.007620	0.01008	0.01274	0.003211	0.007321	0.002989	0.002304	1.012930
1959:04	0.02696	0.01453	0.01037	0.03443	0.02873	0.03458	0.03631	0.04253	0.01823	0.04466	0.002426	0.991690
1959:05	0.001786	0.02074	-0.005343	0.004528	0.01425	-0.0006800	0.01713	0.009693	-0.003238	0.02794	0.002336	1.008670
1959:06	-0.01047	0.004005	0.005863	0.008635	0.007676	0.01416	0.009478	0.004531	0.01415	-0.003220	0.002636	0.997970
1959:07	0.03492	0.03926	0.02068	0.03385	0.03055	0.02949	0.02951	0.02841	0.02312	0.03796	0.002628	0.998530
1959:08	-0.01399	-0.006489	-0.01556	-0.02936	-0.01858	-0.004434	-0.02045	-0.01719	-0.01998	-0.008455	0.002774	0.999520
1959:09	-0.04139	-0.04563	-0.04669	-0.04005	-0.04447	-0.04814	-0.04955	-0.05076	-0.05059	-0.04259	0.003306	1.005030
1959:10	0.001837	0.01387	0.03698	0.03011	0.02344	0.03383	0.02590	0.04522	0.02212	0.008518	0.003314	0.993480
1959:11	-0.002251	0.01209	0.02370	0.02451	0.02076	0.009371	0.02694	0.02868	0.01154	0.01807	0.003394	0.999750
1959:12	0.01444	0.03411	0.04201	0.01546	0.02487	0.01812	0.009474	0.004855	0.02349	0.03488	0.003667	1.000490
1960:01	0.01005	-0.01491	-0.03655	-0.04127	-0.04115	-0.04686	-0.05732	-0.05229	-0.04415	-0.07703	0.003555	0.998570
1960:02	-0.009820	0.003997	0.01410	0.004091	0.02146	0.003295	0.01135	0.01106	0.005231	0.01458	0.003241	0.995130
1960:03	-0.02234	-0.03431	-0.03289	-0.04392	-0.02468	-0.02174	-0.01987	-0.01970	-0.01125	-0.009118	0.002717	1.010750
1960:04	-0.03201	-0.02030	-0.01890	-0.02899	-0.01982	-0.02302	-0.01068	-0.007322	-0.004509	-0.01795	0.002653	1.004120
1960:05	0.004613	0.006218	0.02625	0.03903	0.03345	0.02486	0.04653	0.02267	0.03110	0.03465	0.002701	0.986910
1960:06	0.02759	0.02635	0.008015	0.01263	0.02249	0.02790	0.02286	0.03061	0.02805	0.02154	0.002027	1.000280
1960:07	-0.03180	-0.01734	-0.01591	-0.02232	-0.01488	-0.02221	-0.02527	-0.01070	-0.01726	-0.02238	0.001897	0.998950
1960:08	0.05460	0.03478	0.03895	0.03415	0.03866	0.04132	0.02393	0.03413	0.02988	0.02900	0.001897	0.994790
1960:09	-0.06210	-0.05045	-0.05452	-0.07537	-0.06237	-0.05955	-0.06003	-0.05525	-0.04947	-0.05965	0.002044	0.998560
1960:10	-0.04366	-0.02762	-0.02202	-0.02853	-0.02650	-0.03022	-0.01699	-0.01002	-0.01248	0.001259	0.001897	0.997960
1960:11	0.01418	0.03049	0.04563	0.05047	0.06211	0.06067	0.05938	0.05858	0.06563	0.04174	0.001954	1.001910
1960:12	0.01963	0.02495	0.04126	0.03749	0.02491	0.03828	0.04415	0.04937	0.04730	0.05001	0.001856	0.994340
1961:01	0.09133	0.09522	0.1009800	0.08597	0.08546	0.08732	0.07437	0.08062	0.06676	0.05896	0.001848	1.005070
1961:02	0.06191	0.06033	0.07856	0.07316	0.06601	0.05218	0.06269	0.05183	0.04384	0.02952	0.001995	1.001540
1961:03	0.06779	0.05915	0.07022	0.07141	0.04813	0.04195	0.04979	0.04984	0.02556	0.02601	0.001970	1.008120
1961:04	0.01037	0.01208	0.03060	0.01652	-0.004932	0.007249	0.007207	-0.003980	0.003282	0.006967	0.001889	1.003480
1961:05	0.04899	0.04389	0.03169	0.03596	0.04922	0.05330	0.02615	0.03507	0.03793	0.01997	0.001889	1.002700
1961:06	-0.05233	-0.05372	-0.06098	-0.04815	-0.05878	-0.03986	-0.03297	-0.03708	-0.02769	-0.02465	0.001921	1.000200
1961:07	-0.008742	0.005901	-0.0002640	0.009182	0.01292	0.008799	0.01547	0.02059	0.02600	0.03664	0.001848	0.990450
1961:08	0.004562	0.01513	-0.004576	0.02189	0.008823	0.01952	0.02923	0.04456	0.04074	0.02389	0.001970	1.000890
1961:09	-0.03455	-0.03443	-0.03725	-0.03191	-0.03959	-0.02407	-0.02521	-0.02579	-0.01891	-0.01596	0.001880	1.000640
1961:10	0.02226	0.02640	0.01838	0.03081	0.007055	0.01966	0.02378	0.03378	0.03154	0.02661	0.001897	1.003410
1961:11	0.03999	0.06669	0.06486	0.06197	0.04874	0.04280	0.04997	0.03098	0.04575	0.04693	0.002044	1.004970
1961:12	0.003476	0.008022	-0.007547	-0.005377	0.001290	-0.007295	-0.01661	-0.01667	-0.01271	0.007123	0.002141	1.003310
1962:01	0.05211	0.005938	0.01394	-0.002325	-0.004342	-0.03128	-0.02603	-0.01827	-0.02216	-0.04503	0.002239	0.999720
1962:02	0.02295	0.01739	0.01495	0.004157	0.01087	0.01448	0.02441	0.01016	0.01541	0.02125	0.002247	0.996280
1962:03	-0.008042	0.004174	-0.01206	-0.001296	-0.01096	-0.008213	-0.01347	-0.008614	-0.001832	-0.005404	0.002239	1.002200
1962:04	-0.06452	-0.07214	-0.07534	-0.08053	-0.07724	-0.06097	-0.06272	-0.06450	-0.06697	-0.06066	0.002247	1.001170
1962:05	-0.1067400	-0.09796	-0.09017	-0.1112900	-0.1036800	-0.1062800	-0.09733	-0.09865	-0.08609	-0.07950	0.002206	1.004060
1962:06	-0.07503	-0.07737	-0.09233	-0.07510	-0.08543	-0.08167	-0.08052	-0.08899	-0.07268	-0.08436	0.002247	0.996300
1962:07	0.07483	0.07320	0.07182	0.05656	0.05035	0.06178	0.05200	0.06032	0.05781	0.07001	0.002401	1.002190
1962:08	0.02671	0.01953	0.04196	0.02925	0.03392	0.01992	0.03283	0.02357	0.02343	0.02145	0.002320	0.999240
1962:09	-0.05639	-0.06667	-0.07522	-0.06301	-0.06435	-0.05619	-0.05463	-0.05231	-0.05303	-0.04743	0.002288	1.002940
1962:10	-0.03331	-0.03891	-0.02886	-0.03950	-0.02823	-0.01424	-0.01722	-0.003742	-0.005205	0.01205	0.002255	0.997590
1962:11	0.1185800	0.1342600	0.1395700	0.1428900	0.1374500	0.1234400	0.1342800	0.1267300	0.1249400	0.1036600	0.002328	1.004060
1962:12	-0.007764	-0.02090	-0.01694	-0.01217	-0.02826	-0.003743	-0.008085	0.01400	0.01257	0.01763	0.002361	1.000500
1963:01	0.1123800	0.1125500	0.1015300	0.07538	0.08471	0.06554	0.06766	0.05998	0.05644	0.04509	0.002393	0.999770
1963:02	-0.002748	-0.01022	-0.009221	-0.02139	-0.01533	-0.01515	-0.01839	-0.01732	-0.01757	-0.02524	0.002401	0.995100
1963:03	0.01309	0.007513	0.02741	0.01382	0.01801	0.01809	0.01543	0.02490	0.03314	0.03853	0.002377	1.003790
1963:04	0.02545	0.03546	0.04602	0.03736	0.03259	0.03075	0.04685	0.04987	0.03864	0.05121	0.002385	1.000000
1963:05	0.05563	0.04781	0.03549	0.03304	0.03901	0.03298	0.02813	0.02179	0.02078	0.01785	0.002401	0.999320
1963:06	-0.02260	-0.01493	-0.01203	-0.01823	-0.01596	-0.01828	-0.01782	-0.02075	-0.006966	-0.02013	0.002458	1.001020
1963:07	-0.005844	-0.0009620	-0.01935	-0.006354	-0.01652	-0.01652	-0.01617	-0.01113	-0.004751	0.001974	0.002612	1.000520
1963:08	0.03620	0.04176	0.06178	0.05118	0.05593	0.05050	0.05553	0.05631	0.05603	0.05359	0.002725	1.003780
1963:09	-0.01206	-0.02149	-0.02722	-0.02016	-0.02218	-0.01465	-0.03101	-0.01349	-0.02134	-0.008803	0.002774	1.000380
1963:10	0.007081	0.03271	0.02950	0.01221	0.007942	0.01455	0.02198	0.007106	0.01939	0.03577	0.002831	0.999380
1963:11	-0.02092	-0.01035	-0.005632	-0.007426	-0.01108	-0.01727	-0.003747	-0.005417	-0.0002350	-0.005328	0.002887	0.998880
1963:12	-0.01775	-0.009304	-0.002807	0.01369	0.004030	0.01820	0.01190	0.01932	0.01611	0.02643	0.002887	1.004530
1964:01	0.04422	0.03162	0.01930	0.02805	0.006887	0.01068	0.01448	0.01138	0.01514	0.03095	0.002887	1.002400
1964:02	0.03759	0.02441	0.03363	0.02761	0.02315	0.02796	0.02550	0.02771	0.01952	0.01476	0.002895	1.005890
1964:03	0.04097	0.03841	0.03209	0.05936	0.03582	0.02640	0.03521	0.02908	0.02258	0.01253	0.002903	1.004810
1964:04	-0.009314	-0.01276	0.005056	-0.01587	-0.006082	-0.01560	-0.006502	-0.004017	-0.0003370	0.008377	0.002847	0.996420
1964:05	0.01149	-0.001480	0.009680	0.02475	0.01272	0.008295	0.02054	0.01550	0.01534	0.01768	0.002855	1.008090
1964:06	0.01118	0.01377	0.01676	0.01907	0.01569	0.02052	0.01964	0.01534	0.01492	0.01618	0.002855	1.003880
1964:07	0.04873	0.03791	0.03493	0.01399	0.01797	0.03292	0.01808	0.02384	0.03151	0.01629	0.002839	1.004380
1964:08	-0.01395	0.002343	-0.01694	-0.01066	-0.01043	-0.008875	-0.007497	0.001760	-0.01211	-0.01297	0.002871	1.004650
1964:09	0.05966	0.05006	0.03586	0.02620	0.02751	0.02868	0.03797	0.04022	0.03018	0.02901	0.002895	0.995890
1964:10	0.03767	0.02127	0.01036	0.02451	0.01160	0.02965	0.01368	0.01467	0.008374	0.007656	0.002927	1.003140
1964:11	-0.005699	0.002684	0.004453	-0.009354	-0.001279	0.0004420	0.004755	-0.002399	0.006171	0.002515	0.002984	0.991260
1964:12	-0.02400	-0.02005	-0.01986	-0.007160	0.005402	-0.01070	-0.0004170	-0.001016	-0.002993	0.007349	0.003145	1.010700
1965:01	0.08467	0.05903	0.07550	0.06296	0.05656	0.05041	0.05600	0.05142	0.04616	0.03139	0.003121	0.996050
1965:02	0.02221	0.01797	0.04021	0.02838	0.04008	0.03578	0.02827	0.02963	0.02520	-0.003131	0.003217	1.005430
1965:03	0.02678	0.02928	0.003006	0.007052	0.005078	0.004424	0.001886	-0.002568	-0.006250	-0.01539	0.003217	0.996420
1965:04	0.05632	0.03915	0.03699	0.05124	0.04009	0.02606	0.03765	0.03468	0.02601	0.03513	0.003217	1.006290
1965:05	-0.001446	-0.01970	-0.007124	-0.003565	-0.01029	-0.002132	-0.01081	-0.005738	-0.007840	-0.002725	0.003185	1.000210
1965:06	-0.08240	-0.08660	-0.08893	-0.08673	-0.08082	-0.08147	-0.07751	-0.07354	-0.06017	-0.04029	0.003113	0.994760
