ENTRY	W	CPI	U
1998Q1	922.8	72.9613	15.8
1998Q2	1001.1	73.4369	13.6
1998Q3	1037.6	72.8292	10.8
1998Q4	1075.7	73.3048	12.9
1999Q1	1031.9	73.8651	14.7
1999Q2	1078.7	73.8317	13.3
1999Q3	1092.6	73.7848	14.6
1999Q4	1096.1	73.5339	15.9
2000Q1	1028.5	74.4771	15.8
2000Q2	1065.5	74.7608	15.9
2000Q3	1057.5	74.0326	17.1
2000Q4	1073.2	74.5957	17
2001Q1	1041.1	74.9411	18.9
2001Q2	1066.7	75.9366	16.8
2001Q3	1067.7	75.6556	16
2001Q4	1087.1	76.1111	17.9
2002Q1	1088.9	76.159	17.1
2002Q2	1113.4	75.5979	13
2002Q3	1127.4	74.5351	11.9
2002Q4	1145.1	75.3676	13.1
2003Q1	1125.4	75.3328	13.6
2003Q2	1163.8	75.3192	12.9
2003Q3	1174.9	73.9076	11.6
2003Q4	1207.9	74.3671	11.7
2004Q1	1145.9	74.5554	13
2004Q2	1222.1	76.1137	11.3
2004Q3	1260.8	76.2593	10.6
2004Q4	1310.2	76.5224	10.7
2005Q1	1269.8	76.9805	10.2
2005Q2	1331.5	77.6117	8.5
2005Q3	1379.1	78.1999	7.2
2005Q4	1453.4	78.7817	7.1
2006Q1	1437	79.3828	6.4
2006Q2	1519.7	80.4705	5.6
2006Q3	1653.5	80.6806	5.7
2006Q4	1731.3	82.3259	4.8
2007Q1	1737.8	83.0588	5
2007Q2	1826.3	84.373	4.1
2007Q3	1949.8	86.3896	3.9
2007Q4	2052	89.0318	4.2
2008Q1	2151.3	92.4121	4.9
2008Q2	2236.8	94.8955	4.5
2008Q3	2319.9	95.9221	6
2008Q4	2319.1	96.5742	8
2009Q1	2193.1	99.4877	11.9
2009Q2	2172.6	98.9074	13.6
2009Q3	2142.2	98.5413	13.8
2009Q4	2118.3	97.812	15.6
2010Q1	2031.2	99.2872	18.1
2010Q2	2055.8	99.9417	18.3
2010Q3	2081.8	100.3164	17.8
2010Q4	2121.5	101.5563	17.1
2011Q1	2071.6	103.056	17
2011Q2	2107.7	104.7706	15.5
2011Q3	2116	104.874	14.8
2011Q4	2175	105.0128	13.8
2012Q1	2138.1	106.8058	14.5
2012Q2	2153.6	107.4341	13.3
2012Q3	2171	108.4152	12.3
2012Q4	2232	107.9872	13
2013Q1	2232.9	108.4465	13.1
2013Q2	2253	108.7246	11.7
