entry	cpi.lt	ur.lt
1998Q1	66.41	13.97
1998Q2	67.02	13.57
1998Q3	66.93	12.43
1998Q4	67.52	13.07
1999Q1	68.2	13.53
1999Q2	68.06	13.87
1999Q3	67.77	15.23
1999Q4	67.72	15.87
2000Q1	68.83	15.63
2000Q2	68.68	16.5
2000Q3	68.43	16.97
2000Q4	68.76	16.6
2001Q1	69.01	17.73
2001Q2	69.83	17.53
2001Q3	69.9	16.8
2001Q4	70.23	17.5
2002Q1	70.77	15.93
2002Q2	70.18	13.47
2002Q3	69.38	12.9
2002Q4	69.58	12.8
2003Q1	69.65	12.47
2003Q2	69.71	13
2003Q3	68.78	12.43
2003Q4	68.75	11.87
2004Q1	68.87	11.4
2004Q2	70.05	10.9
2004Q3	70.4	10.77
2004Q4	70.77	10.5
2005Q1	71.01	9.53
2005Q2	71.71	8.97
2005Q3	71.97	7.73
2005Q4	72.88	7.03
2006Q1	73.37	6.43
2006Q2	74.27	5.83
2006Q3	74.81	5.77
2006Q4	75.93	5.1
2007Q1	76.59	4.37
2007Q2	77.95	4.33
2007Q3	79.25	4.23
2007Q4	81.94	4.07
2008Q1	84.84	4.17
2008Q2	87.52	4.4
2008Q3	88.73	6.37
2008Q4	89.67	8.33
2009Q1	92	10.7
2009Q2	91.8	13.33
2009Q3	90.86	14.9
2009Q4	90.7	16.27
2010Q1	91.61	17.33
2010Q2	92.29	18.2
2010Q3	92.46	18.17
2010Q4	93.34	17.63
2011Q1	94.55	16.83
2011Q2	96.64	15.8
2011Q3	96.66	15.3
2011Q4	97.1	13.67
2012Q1	97.97	14
2012Q2	99.38	13.5
2012Q3	99.78	13.1
2012Q4	100	13
2013Q1	100.15	12.33
2013Q2	100.77	11.9
2013Q3	100.33	11.6
2013Q4	100.51	11.4
2014Q1	100.46	11.53
2014Q2	101	11.07
2014Q3	100.58	10.13
2014Q4	100.69	10.13
2015Q1	99.14	9.33
2015Q2	100.69	9.37
2015Q3	99.89	9.03
2015Q4	100.28	8.87
2016Q1	99.79	8.5
2016Q2	101.13	8.2
2016Q3	100.27	7.67
2016Q4	101.52	7.87
