ENTRY	dm	dy	dp
2002Q2	0.852753873	0.557505757	0.357782135
2002Q3	1.483367515	1.020956784	-1.023740909
2002Q4	0.212634305	0.598268553	0.360168468
2003Q1	0.023028996	-0.164942751	0.623882026
2003Q2	2.937796069	2.228302612	0.396197032
2003Q3	0.86064052	1.399441379	-0.714288751
2003Q4	1.764090043	0.790304597	1.108922255
2004Q1	3.846872738	2.113844526	0.992823309
2004Q2	2.055182765	1.198490975	1.931058975
2004Q3	1.694731018	-0.41621585	0.63548765
2004Q4	1.655214474	1.462054348	0.882952255
2005Q1	1.174409802	0.813854967	0.087867953
2005Q2	0.985883039	0.411904514	0.625392908
2005Q3	1.850007998	1.847550103	0.124610608
2005Q4	2.350184092	0.812843693	0.286016485
2006Q1	1.265887852	1.803655497	-0.124254489
2006Q2	1.833889794	1.34936795	1.075877564
2006Q3	2.818187954	2.243588934	0.245700369
2006Q4	3.216459295	1.494294687	0.036803043
2007Q1	2.749444617	2.178504908	0.611398334
2007Q2	2.346691309	1.266495116	1.380167187
2007Q3	2.657661805	1.30029427	0.312125103
2007Q4	2.823570427	2.34192187	1.39263097
2008Q1	2.018629344	0.707633818	1.256843936
2008Q2	1.209661425	0.564696144	1.275823383
2008Q3	0.782321232	0.300396826	0.345145304
2008Q4	0.470606208	-0.34874444	0.641101223
2009Q1	3.694502787	1.544984484	1.292535001
2009Q2	0.409547487	0.416065383	1.930109563
2009Q3	1.88085763	0.415405568	0.33094349
2009Q4	1.278621183	1.581243537	0.220022091
2010Q1	0.737823606	0.1174684	0.842594031
2010Q2	2.459713071	1.431133259	0.975934877
2010Q3	1.714895385	1.216005374	0.032367697
2010Q4	1.768885647	1.271567855	0.827205662
2011Q1	2.578553074	1.17660611	1.728844036
2011Q2	1.623671907	1.293672403	1.388838697
2011Q3	1.97420531	1.244592101	-0.311591444
2011Q4	1.922485225	0.946728134	1.343272936
2012Q1	0.235801142	0.10392942	1.62886631
2012Q2	1.191081103	-0.225607218	1.174535412
2012Q3	0.324165414	0.342738699	-0.32988484
2012Q4	-0.37062021	-0.251998621	0.230034607
2013Q1	-0.355190684	0.210690524	0.199600865
2013Q2	1.356247521	1.01223304	0.427797499
2013Q3	0.848858193	0.752373338	0
2013Q4	1.441906259	0.234076351	-0.029787023
2014Q1	0.862814698	1.036162218	0.228140753
2014Q2	0.820141596	1.081285891	0.099029519
2014Q3	1.132723646	0.813384087	-0.396707849
2014Q4	-0.477965596	0.552704759	-0.358387641
2015Q1	2.289068608	1.527517423	-0.540001312
2015Q2	0.560838712	0.47196339	0.669567284
2015Q3	1.090717048	1.163115023	-0.299252094
2015Q4	2.271812886	0.884975553	-0.33021494
2016Q1	-0.655794796	0.014222728	-0.341365793
2016Q2	1.095146723	0.911019178	0.541626199
2016Q3	0.500328282	0.323004213	-0.3005412
2016Q4	1.161144521	1.582501165	0.500401364
