ENTRY	pi.a	pi.p
2004M01	1.6	2.159038846
2004M02	1.7	2.423127553
2004M03	1.6	2.47833737
2004M04	1.6	2.600240008
2004M05	1.7	2.26283529
2004M06	2.2	2.637945744
2004M07	3.4	3.713933358
2004M08	4.4	3.856812482
2004M09	4.6	3.881261521
2004M10	4.6	3.805561636
2004M11	4.4	3.392157806
2004M12	4.5	3.757365946
2005M01	4.5	3.96112929
2005M02	4.4	3.411682906
2005M03	4	2.987348461
2005M04	3.6	2.810811855
2005M05	3.4	2.437511407
2005M06	3	2.300284153
2005M07	2.5	1.941749783
2005M08	1.4	1.104326237
2005M09	1.3	1.14658345
2005M10	1.6	1.317267883
2005M11	1.8	1.428229874
2005M12	1.6	1.276677931
2006M01	1	0.870027854
2006M02	0.7	0.503632947
2006M03	0.7	0.516868167
2006M04	0.7	0.516616876
2006M05	0.4	0.300007871
2006M06	0.7	0.497611359
2006M07	0.9	0.644704674
2006M08	0.8	0.761658911
2006M09	1.1	1.127698915
2006M10	1.6	1.349151167
2006M11	1.6	1.591862027
2006M12	1.2	1.172897562
2007M01	1.4	1.533907979
2007M02	1.4	1.292094033
2007M03	1.7	1.49387401
2007M04	1.9	1.641231417
2007M05	2.5	2.256745693
2007M06	2.3	1.995661304
2007M07	2.3	1.959003841
2007M08	2.6	2.25374806
2007M09	2.3	2.237356244
2007M10	1.5	1.360406515
2007M11	2.3	2.41116345
2007M12	3	3.081860818
2008M01	3.6	3.953719503
2008M02	4	4.131366981
2008M03	4.3	4.446560467
2008M04	4.2	4.242835282
2008M05	4.1	4.139808686
2008M06	4	4.113639182
2008M07	4.4	4.405702002
2008M08	4.6	4.408491968
2008M09	4.8	4.641791554
2008M10	4.8	4.868221892
2008M11	4.2	4.215811287
2008M12	4.1	4.102393309
2009M01	3.7	3.858361585
2009M02	3.3	3.284824286
2009M03	3.1	3.101883657
2009M04	3.3	3.106398536
2009M05	3.6	3.264741029
2009M06	4	3.449776294
2009M07	3.6	3.244368283
2009M08	3.5	2.909937529
2009M09	3.6	3.109648365
2009M10	3.7	3.201524013
2009M11	3.4	2.876602003
2009M12	3.1	2.770476934
2010M01	3.3	3.177437511
2010M02	3.5	2.981243115
2010M03	3.6	3.040443711
2010M04	2.9	2.399186789
2010M05	2.6	2.156742316
2010M06	2.4	2.436950169
2010M07	2.2	1.90581657
2010M08	2.3	2.485308123
2010M09	2	2.279151262
2010M10	2	2.112753925
2010M11	2.5	2.824297043
2010M12	2.8	3.145897305
2011M01	2.7	3.173084313
2011M02	3.1	3.30581749
2011M03	3.8	4.741874094
2011M04	3.6	3.493929151
2011M05	4.3	3.917547505
2011M06	4.5	4.227462464
2011M07	5	4.21005466
2011M08	4.2	3.870745911
2011M09	4.1	3.631640255
2011M10	4.3	3.775101242
2011M11	3.9	3.891988873
2011M12	4.3	4.733935084
2012M01	4.8	5.464212823
2012M02	4.6	4.689240244
2012M03	4.1	4.135411927
2012M04	4.3	4.482726239
2012M05	3.9	3.743981884
2012M06	4	3.806014106
2012M07	3.6	3.289985635
2012M08	4.3	4.04359955
2012M09	4	3.842207606
2012M10	3.8	3.752814604
2012M11	3.8	3.597657001
2012M12	3.4	3.124739098
2013M01	2.8	2.64340981
2013M02	2.4	2.15336133
2013M03	1.7	1.541737424
2013M04	1.3	1.169928028
2013M05	1	0.82437024
2013M06	0.8	0.684755939
2013M07	0.5	0.402648682
2013M08	0.2	0.157326511
2013M09	1.1	0.909242484
2013M10	1.1	0.900818026
2013M11	1	0.820972018
2013M12	0.8	0.643160762
2014M01	0.6	0.486428803
2014M02	0.7	0.552008941
2014M03	0.7	0.52871795
2014M04	0.7	0.521434853
2014M05	0.7	0.485424065
2014M06	0.3	0.213520383
2014M07	0.2	0.13676321
2014M08	0.3	0.214781198
2014M09	-0.2	0.203682595
2014M10	-0.3	0.196926222
2014M11	-0.3	0.192953163
2014M12	-0.6	0.180150271
2015M01	-0.6	0.176139296
2015M02	-1	0.176231561
2015M03	-1.3	0.175523482
2015M04	-1.6	0.173911963
2015M05	-1.5	0.173204821
2015M06	-1.1	0.165607671
2015M07	-0.9	0.179041319
2015M08	-0.8	0.178968056
2015M09	-0.7	0.232862899
2015M10	-0.6	0.200806942
2015M11	-0.8	0.183566083
2015M12	-0.7	0.211333224
2016M01	-0.6	0.200571483
2016M02	-0.5	0.205078166
2016M03	-0.7	0.208180499
2016M04	-0.8	0.204130468
2016M05	-0.9	0.193467717
2016M06	-1.1	0.202335791
