ENTRY	PROD	PPI	EMPL
2000Q1	54.4	76.2	111.6
2000Q2	57.1	77.7	111
2000Q3	57.5	79.4	110.4
2000Q4	58.7	80.1	109.6
2001Q1	57.5	79.3	108.5
2001Q2	56.9	79.5	107.5
2001Q3	57.3	80	106.3
2001Q4	57.4	79.6	104.7
2002Q1	57.3	79.6	103.5
2002Q2	56.6	80.2	102.7
2002Q3	58.9	81.3	102.2
2002Q4	59.9	81.3	101.9
2003Q1	59.7	82.1	99.9
2003Q2	61.5	81.9	99.5
2003Q3	64.5	82.8	99.4
2003Q4	66.7	84.1	98.9
2004Q1	70	85.8	98.7
2004Q2	71.7	89.3	98.8
2004Q3	70.6	89.9	98.6
2004Q4	71	89.7	98.5
2005Q1	71.6	88.7	98
2005Q2	72.6	89.4	98.3
2005Q3	74.5	89.6	98.7
2005Q4	78.6	89	99.1
2006Q1	79.1	88.9	99.7
2006Q2	82.9	91.2	100.3
2006Q3	85	92.4	101.2
2006Q4	87.1	91.2	102.1
2007Q1	89.5	91.6	103.2
2007Q2	90.1	92.7	103.7
2007Q3	92.1	93.5	104.5
2007Q4	94	92.9	105.2
2008Q1	97.3	94	107.1
2008Q2	95.1	94.6	107.1
2008Q3	93	95	106.6
2008Q4	88.3	95.1	105.4
2009Q1	87.1	98.6	102.3
2009Q2	88.6	98.6	100.5
2009Q3	90.4	97.2	99.5
2009Q4	92.3	97	99.2
2010Q1	96.6	97.1	99.4
2010Q2	100.1	99.9	99.8
2010Q3	101.7	101.2	100.3
2010Q4	101.6	101.9	100.6
2011Q1	104.1	104.6	102
2011Q2	105.2	106.7	102.3
2011Q3	107.4	108.2	101.9
2011Q4	110.3	110.5	101.8
2012Q1	107.7	110.8	101.5
2012Q2	108.8	111.6	101.3
2012Q3	108.4	111.1	101.1
2012Q4	107.2	110.3	100.8
2013Q1	107.3	109.9	100.3
2013Q2	110.2	109.3	100.2
2013Q3	113	109.9	100.4
2013Q4	113	108.9	100.7
2014Q1	113.3	108.6	101.1
2014Q2	113.6	108	101.5
2014Q3	114.8	108	101.9
2014Q4	115.9	106.9	102.4
2015Q1	119	105.8	103
2015Q2	118.3	105.9	103.1
2015Q3	119.2	105.5	103.3
2015Q4	121.6	105.2	103.8
2016Q1	121.7	104.2	104.9
2016Q2	123.3	105.1	105.5
2016Q3	123.1	105.4	106.1
2016Q4	125	107.3	106.8
