ENTRY	CPI	UR
1948	24.045	3.75
1949	23.8092	6.05
1950	24.0625	5.2083
1951	25.9733	3.2833
1952	26.5667	3.025
1953	26.7683	2.925
1954	26.865	5.5917
1955	26.7958	4.3667
1956	27.1908	4.125
1957	28.1133	4.3
1958	28.8808	6.8417
1959	29.15	5.45
1960	29.585	5.5417
1961	29.9017	6.6917
1962	30.2533	5.5667
1963	30.6333	5.6417
1964	31.0383	5.1583
1965	31.5283	4.5083
1966	32.4708	3.7917
1967	33.375	3.8417
1968	34.7917	3.5583
1969	36.6833	3.4917
1970	38.8417	4.9833
1971	40.4833	5.95
1972	41.8083	5.6
1973	44.425	4.8583
1974	49.3167	5.6417
1975	53.825	8.475
1976	56.9333	7.7
1977	60.6167	7.05
1978	65.2417	6.0667
1979	72.5833	5.85
1980	82.3833	7.175
1981	90.9333	7.6167
1982	96.5333	9.7083
1983	99.5833	9.6
1984	103.9333	7.5083
1985	107.6	7.1917
1986	109.6917	7
1987	113.6167	6.175
1988	118.275	5.4917
1989	123.9417	5.2583
1990	130.6583	5.6167
1991	136.1667	6.85
1992	140.3083	7.4917
1993	144.475	6.9083
1994	148.225	6.1
1995	152.3833	5.5917
1996	156.8583	5.4083
1997	160.525	4.9417
1998	163.0083	4.5
1999	166.5833	4.2167
2000	172.1917	3.9667
2001	177.0417	4.7417
2002	179.8667	5.7833
2003	184	5.9917
2004	188.9083	5.5417
2005	195.2667	5.0833
2006	201.5583	4.6083
2007	207.3442	4.6167
2008	215.2543	5.8
2009	214.5647	9.2833
2010	218.0762	9.6083
2011	224.923	8.9333
2012	229.5963	8.075
2013	232.9636	7.3667
2014	236.7147	6.1667
2015	236.9952	5.2583
2016	240.0242	4.85
